request_id,request
0,i'd like a respirator
1,can dogs get the corona virus?
2,i was tested yesterday when do i hear back?
3,how has coronavirus spread around the world?
4,i'd like a respirator
5,i suspect i have the virus who can i call?
6,i hate this
7,is this worse than flu
8,what if i don't have paid sick leave?
9,where can i get tested for corona?
10,are my pets at risk from corona virus?
11,what is covid
12,are there any cases near me
13,how can one know if they have been infected?
14,i'm having respiratory problems
15,can i return to the united states?
16,can we go to the store?
17,how many people have contracted the virus in pennysylvania
18,how many people are infected
19,is the covid vaccine ready?
20,this is hateful
21,i can't go to work.  can i get unemployment?
22,i have sore throat
23,is covid a disease?
24,how can i avoid getting sick?
25,i hate this
26,what does the who do?
27,what can you do
28,flu vs covid19
29,do i have to wear a mask when i'm outside or taking a walk?
30,is there a test kit for coronavirus
31,what happens after the ordered three-week closure period ends?
32,do i need to get tested?
33,how to avoid catching covid-19.
34,how long do i have to stay in quarantine?
35,how many cases of the virus are there in the world?
36,how to apply for unemployment
37,i want a coronavirus test
38,can i go to grocery stores
39,should i get tested for covid-19?
40,when can i buy a mask?
41,should i take theraflu?
42,yes it is
43,can i travel?
44,do i need to get tested?
45,should we get tested if we only have symptoms
46,is there a vaccine for this
47,i traveled to italy recently. what do i do?
48,are the national parks closed?
49,when am i entitled to take paid sick leave?
50,which countries are high risk to travel to?
51,what can i ask you
52,what is covid19
53,what are the crisis measures currently in place?
54,what are symptoms
55,what are my symptoms
56,do i have covid?
57,everything is horrible
58,what can you do
59,how dangerous is this?
60,how can i lower my temperature if i have the coronavirus?
61,how does covid spread?
62,what is the coronavirus?
63,how many people are infected in the united states
64,is covid19 contagious?
65,connect me to someone
66,what can i do if i lose my job?
67,how do i ensure my family is safe?
68,what is covid-19
69,how long do i have to self isolate if i have tested positive?
70,how to treat covid?
71,what's the difference between the flu and coronavirus
72,how to apply for unemployment
73,none of those sound like they cover how to get tested. can you tell me how/where i can get tested?
74,does alcohol kill the coronavirus?
75,when can my high school senior go back to school
76,can pets get covid
77,what medicines work best
78,is covid dangerous to pregnant women?
79,how many ppl are infected in the us?
80,my friend has it should i t get tested
81,what is recommended by who and other international organizations regarding coronavirus?
82,which countries are affected by covid 19?
83,can i protect myself by drinking alcohol
84,i think i have covid 19
85,i have a question about unemployment
86,what are the symptoms?
87,what if i live by myself and i'm in quarantine?
88,when does covid vacation end?
89,how long does the virus last
90,how is covid transmitted?
91,when will respirators and masks be finally sold?
92,is there a vaccine for coronavirus?
